timestamp,millis,sensor,nano,altitude,climb,pressure,altitude_raw,latitude,longitude,altitude_gps,vN,vE,groundSpeed,speed,bearing,glide,glideAngle,hAcc,vAcc,sAcc,pdop,hdop,vdop,gpsFix,numSat,groundDistance,flightMode,jumpNumber,gX,gY,gZ,rotX,rotY,rotZ,acc
20120427-120714.842,1335553634842,Alti,318476102019000,1535.5016247579981,-21.50247399121656,799.4199829101563,1558.068481247078,,,,,,,,,,,,,,,,,,,,Flight,2,7.496710300445557,-2.4177722930908203,5.846991062164307,0.41053861379623413,-0.18286500871181488,0.8882032036781311,9.833610534667969
20120427-120714.948,1335553634948,Alti,318476312285000,1532.6411724856118,-21.205571507611346,799.6499633789063,1555.7492742071224,,,,,,,,,,,,,,,,,,,,Flight,2,6.829398155212402,-4.376898288726807,5.516927719116211,-0.4231100380420685,0.19945888221263885,-0.8764607906341553,12.903271675109863
20120427-120715.143,1335553635143,Alti,318476500426000,1529.41155322559,-21.06965838723578,801.2099609375,1540.0319303392878,,,,,,,,,,,,,,,,,,,,Flight,2,6.429579734802246,-4.7349534034729,5.698799133300781,-0.41542813181877136,0.19223955273628235,-0.8711203336715698,13.145955085754395
20120427-120715.400,1335553635400,Alti,318476703399000,1524.1551078008633,-21.24487349436325,804.1499633789063,1510.4779455996045,,,,,,,,,,,,,,,,,,,,Flight,2,6.3063859939575195,-3.628753900527954,6.580016613006592,-0.38485097885131836,0.12851427495479584,-0.89579838514328,11.288652420043945
20120427-120715.645,1335553635645,Alti,318476907683000,1518.4243900117835,-21.49353079345822,805.2899780273438,1499.0416370697726,,,,,,,,,,,,,,,,,,,,Flight,2,6.224206924438477,-2.4200174808502197,7.185956954956055,-0.35336384177207947,0.09420597553253174,-0.9250784516334534,9.615594863891602
20120427-120715.850,1335553635850,Alti,318477109832000,1512.508178568695,-21.77446727322694,806.1300048828125,1490.623108257523,,,,,,,,,,,,,,,,,,,,Flight,2,7.208858966827393,-1.6793577671051025,6.437962055206299,-0.40415453910827637,0.09233519434928894,-0.9100099802017212,7.806445598602295
20120427-120715.930,1335553635930,Alti,318477307677000,1506.3334394030865,-22.108253075658073,807.1599731445313,1480.310725322272,,,,,,,,,,,,,,,,,,,,Flight,2,8.397686958312988,-1.7260606288909912,4.767885208129883,0.4876154065132141,-0.13862010836601257,0.859607458114624,7.880672454833984
20120427-120716.196,1335553636196,Alti,318477500396000,1500.4525971448918,-22.39799695757557,807.4099731445313,1477.8092497798023,,,,,,,,,,,,,,,,,,,,Flight,2,8.461454391479492,-1.873953104019165,4.59649133682251,0.48690807819366455,-0.1692456156015396,0.8510821461677551,7.080317497253418
20120427-120716.388,1335553636388,Alti,318477703460000,1494.7616340341858,-22.6023407286997,807.3099975585938,1478.8095204474216,,,,,,,,,,,,,,,,,,,,Flight,2,7.9357476234436035,-2.144740104675293,5.353317737579346,0.43610337376594543,-0.19225391745567322,0.8690813183784485,6.622654914855957
20120427-120716.613,1335553636613,Alti,318477906554000,1488.9692282431363,-22.81726610470313,807.969970703125,1472.208244042718,,,,,,,,,,,,,,,,,,,,Flight,2,7.364385604858398,-2.4909698963165283,5.982908248901367,0.3918212652206421,-0.20379424095153809,0.8866434097290039,8.534540176391602
